_id,Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
130,2020-06-02,Central,Niagara Detention Centre,0,0,1
131,2020-06-02,Western,Central North Correctional Centre,1,0,0
132,2020-06-03,Northern,Monteith Correctional Centre,0,1,0
133,2020-06-03,Central,Maplehurst Correctional Complex,1,3,2
134,2020-06-03,Central,Ontario Correctional Institute,0,89,2
135,2020-06-03,Toronto,Toronto South Detention Centre,2,6,3
136,2020-06-03,Central,Milton-Vanier Centre For Women,0,1,3
137,2020-06-03,Central,Hamilton Wentworth Det Centre,0,1,0
138,2020-06-03,Eastern,Central East Correctional Centre,1,0,1
139,2020-06-03,Central,Niagara Detention Centre,0,0,1
140,2020-06-03,Western,Central North Correctional Centre,1,0,0
141,2020-06-04,Northern,Monteith Correctional Centre,0,1,0
142,2020-06-04,Central,Maplehurst Correctional Complex,1,4,2
143,2020-06-04,Central,Ontario Correctional Institute,0,89,2
144,2020-06-04,Toronto,Toronto South Detention Centre,1,7,3
145,2020-06-04,Central,Milton-Vanier Centre For Women,0,1,3
146,2020-06-04,Central,Hamilton Wentworth Det Centre,0,1,0
147,2020-06-04,Eastern,Central East Correctional Centre,1,0,1
148,2020-06-04,Central,Niagara Detention Centre,0,0,1
149,2020-06-04,Western,Central North Correctional Centre,1,0,0
150,2020-06-07,Northern,Monteith Correctional Centre,0,1,0
151,2020-06-07,Central,Maplehurst Correctional Complex,1,4,2
152,2020-06-07,Central,Ontario Correctional Institute,0,89,2
153,2020-06-07,Toronto,Toronto South Detention Centre,1,7,3
154,2020-06-07,Central,Milton-Vanier Centre For Women,0,1,3
155,2020-06-07,Central,Hamilton Wentworth Det Centre,0,1,0
156,2020-06-07,Eastern,Central East Correctional Centre,0,1,1
157,2020-06-07,Central,Niagara Detention Centre,0,0,1
158,2020-06-07,Western,Central North Correctional Centre,1,0,0
159,2020-06-07,Northern,Kenora Jail,2,0,0
160,2020-06-08,Northern,Monteith Correctional Centre,0,1,0
161,2020-06-08,Central,Maplehurst Correctional Complex,1,4,2
162,2020-06-08,Central,Ontario Correctional Institute,0,89,2
163,2020-06-08,Toronto,Toronto South Detention Centre,2,7,3
164,2020-06-08,Central,Milton-Vanier Centre For Women,0,1,3
165,2020-06-08,Central,Hamilton Wentworth Det Centre,0,1,0
166,2020-06-08,Eastern,Central East Correctional Centre,0,1,1
167,2020-06-08,Central,Niagara Detention Centre,0,0,1
168,2020-06-08,Western,Central North Correctional Centre,1,0,0
169,2020-06-08,Northern,Kenora Jail,2,0,0
170,2020-06-09,Northern,Monteith Correctional Centre,0,1,0
171,2020-06-09,Central,Maplehurst Correctional Complex,2,4,2
172,2020-06-09,Central,Ontario Correctional Institute,0,89,2
173,2020-06-09,Toronto,Toronto South Detention Centre,2,7,3
174,2020-06-09,Central,Milton-Vanier Centre For Women,0,1,3
175,2020-06-09,Central,Hamilton Wentworth Det Centre,0,1,0
176,2020-06-09,Eastern,Central East Correctional Centre,0,1,1
177,2020-06-09,Central,Niagara Detention Centre,0,0,1
178,2020-06-09,Western,Central North Correctional Centre,1,0,0
179,2020-06-09,Northern,Kenora Jail,2,0,0
180,2020-06-10,Northern,Monteith Correctional Centre,0,1,0
181,2020-06-10,Central,Maplehurst Correctional Complex,2,4,2
182,2020-06-10,Central,Ontario Correctional Institute,0,89,2
183,2020-06-10,Toronto,Toronto South Detention Centre,2,7,3
184,2020-06-10,Central,Milton-Vanier Centre For Women,0,1,3
185,2020-06-10,Central,Hamilton Wentworth Det Centre,0,1,0
186,2020-06-10,Eastern,Central East Correctional Centre,0,1,1
187,2020-06-10,Central,Niagara Detention Centre,0,0,1
188,2020-06-10,Western,Central North Correctional Centre,1,0,0
189,2020-06-10,Northern,Kenora Jail,2,0,0
190,2020-06-11,Northern,Monteith Correctional Centre,0,1,0
191,2020-06-11,Central,Maplehurst Correctional Complex,2,4,2
192,2020-06-11,Central,Ontario Correctional Institute,0,89,2
193,2020-06-11,Toronto,Toronto South Detention Centre,2,7,3
194,2020-06-11,Central,Milton-Vanier Centre For Women,0,1,3
195,2020-06-11,Central,Hamilton Wentworth Det Centre,0,1,0
196,2020-06-11,Eastern,Central East Correctional Centre,0,1,1
197,2020-06-11,Central,Niagara Detention Centre,0,0,1
198,2020-06-11,Western,Central North Correctional Centre,1,0,0
199,2020-06-11,Northern,Kenora Jail,2,0,0
200,2020-06-11,Western,Elgin-Middlesex Det. Centre,1,0,0
201,2020-06-12,Northern,Monteith Correctional Centre,0,1,0
202,2020-06-12,Central,Maplehurst Correctional Complex,2,4,2
203,2020-06-12,Central,Ontario Correctional Institute,0,89,2
204,2020-06-12,Toronto,Toronto South Detention Centre,1,8,3
205,2020-06-12,Central,Milton-Vanier Centre For Women,0,1,3
206,2020-06-12,Central,Hamilton Wentworth Det Centre,0,1,0
207,2020-06-12,Eastern,Central East Correctional Centre,0,1,1
208,2020-06-12,Central,Niagara Detention Centre,0,0,1
209,2020-06-12,Western,Central North Correctional Centre,0,1,0
210,2020-06-12,Northern,Kenora Jail,2,0,0
211,2020-06-12,Western,Elgin-Middlesex Det. Centre,1,0,0
212,2020-06-15,Northern,Monteith Correctional Centre,0,1,0
213,2020-06-15,Central,Maplehurst Correctional Complex,2,4,2
214,2020-06-15,Central,Ontario Correctional Institute,0,89,2
215,2020-06-15,Toronto,Toronto South Detention Centre,2,8,3
216,2020-06-15,Central,Milton-Vanier Centre For Women,0,1,3
217,2020-06-15,Central,Hamilton Wentworth Det Centre,0,1,0
218,2020-06-15,Eastern,Central East Correctional Centre,0,1,1
219,2020-06-15,Central,Niagara Detention Centre,0,0,1
220,2020-06-15,Western,Central North Correctional Centre,0,1,0
221,2020-06-15,Northern,Kenora Jail,2,0,0
222,2020-06-15,Western,Elgin-Middlesex Det. Centre,1,0,0
223,2020-06-16,Northern,Monteith Correctional Centre,0,1,0
224,2020-06-16,Central,Maplehurst Correctional Complex,1,4,3
225,2020-06-16,Central,Ontario Correctional Institute,0,89,2
226,2020-06-16,Toronto,Toronto South Detention Centre,0,8,5
227,2020-06-16,Central,Milton-Vanier Centre For Women,0,1,3
228,2020-06-16,Central,Hamilton Wentworth Det Centre,0,1,0
229,2020-06-16,Eastern,Central East Correctional Centre,0,1,1
230,2020-06-16,Central,Niagara Detention Centre,0,0,1
231,2020-06-16,Western,Central North Correctional Centre,0,1,0
232,2020-06-16,Northern,Kenora Jail,2,0,0
